Japanese,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Type,Genre,Score,Score Count,Synonyms,Genres,English,Theme,Themes,Broadcast,Premiered,Demographic
淫妖蟲 蝕 -孕ミ堕チル少女達- Anime Edition,1,Finished Airing,"Aug 4, 2017","['MS Pictures', 'AniMan']","None found,",['Studio 9 Maiami'],Visual novel,14 min.,Rx - Hentai,N/A,#8726,"2,753",5,['OVA'],['Hentai'],4.86,784,,,,['Demons'],,,,
JUNK STORY 鉄屑物語,1,Finished Airing,"Jan 21, 1999",['Ripple Film'],"None found,","None found,",Unknown,28 min.,Rx - Hentai,N/A,#11265,985,1,['OVA'],,4.86,274,,"['Action', 'Sci-Fi', 'Hentai']",,,,,,
オリジナルビデオロマンスアニメーション,2,Finished Airing,"Nov 30, 1984 to Dec 22, 1984","None found,","None found,","None found,",Unknown,25 min. per ep.,Rx - Hentai,N/A,#12923,536,0,['OVA'],,4.86,132,"Joshidaisei Seiko-chan, College Girl Seiko-Chan, Seiko: Joshidaisei Seiko-chan, Office Lady Akina-chan","['Comedy', 'Hentai']",,,,,,
女スパイ拷問 敵の基地は女体拷問所,1,Finished Airing,2001,"None found,","None found,","None found,",Unknown,40 min.,Rx - Hentai,N/A,#13615,418,1,['OVA'],['Hentai'],4.85,124,Onna Spy Gaumont,,,,,,,
聖少女戦隊レイカーズＥＸ,1,Finished Airing,"May 21, 1996",['BEAM Entertainment'],['Media Blasters'],['animate Film'],Unknown,28 min.,Rx - Hentai,N/A,#10504,"1,350",3,['OVA'],,4.85,439,"Sei Shoujo Sentai Lakers EX, Best of Kitty #1 (3), Battle Team Lakers EX","['Sci-Fi', 'Hentai']",Battle Team Lakers EX,,,,,
くノ一学園忍法帖,6,Finished Airing,"1999 to May 22, 2000",['D3'],"None found,","None found,",Original,23 min. per ep.,Rx - Hentai,N/A,#9379,"2,118",2,['OVA'],,4.85,424,"Schoolgirl Ninja Harlem, Ninja Group, Kunoichi Gakuen Nimpocho","['Action', 'Comedy', 'Hentai']",Ninja,,"['Demons', 'Martial Arts', 'School']",,,
ごっくんドール 超次元ピッコちゃん登場!!,1,Finished Airing,"May 24, 1990","None found,","None found,","None found,",Unknown,30 min.,Rx - Hentai,N/A,#11989,756,5,['OVA'],,4.84,203,Sexy Anime Rama #4,"['Sci-Fi', 'Hentai']",,['School'],,,,
交淫天使 背徳のリセエンヌ,1,Finished Airing,"Nov 19, 1998",['Digital Works'],"None found,","None found,",Original,28 min.,Rx - Hentai,N/A,#10763,"1,216",0,['OVA'],['Hentai'],4.84,406,,,Co-eD Affairs,,,,,
未来超獣フォビア,2,Finished Airing,"Oct 27, 1995 to Sep 27, 1996","None found,","None found,","None found,",Unknown,42 min. per ep.,Rx - Hentai,N/A,#10888,"1,157",0,['OVA'],,4.83,307,,"['Horror', 'Hentai']",Fobia,,,,,
ヌードルヌード2,1,Finished Airing,1999,"None found,","None found,","None found,",Unknown,1 hr. 10 min.,Rx - Hentai,N/A,#12908,538,1,['OVA'],,4.82,136,"Nudlnude 2, 누들누드 2","['Comedy', 'Hentai']",,['Parody'],,,,
